Geographic;City;percent_completed_hs
IN;Cordry Sweetwater Lakes CDP;88.2
NY;Corfu village;95.6
WV;Corinne CDP;86.4
UT;Corinne city;89.8
KY;Corinth city;76.8
MS;Corinth city;80.3
TX;Corinth city;96.3
AR;Corinth town;94.2
NY;Corinth village;86.9
IA;Corley CDP;81.4
SD;Corn Creek CDP;64.5
OK;Corn town;80.3
GA;Cornelia city;70
OR;Cornelius city;65.8
NC;Cornelius town;95.7
WI;Cornell city;83.9
IL;Cornell village;94.7
TN;Cornersville town;85.8
AZ;Cornfields CDP;67.3
AR;Corning city;77
CA;Corning city;75.3
IA;Corning city;90.7
KS;Corning city;96.1
NY;Corning city;93.2
MO;Corning town;50
OH;Corning village;84.1
OK;Cornish town;75.7
UT;Cornish town;85.8
IL;Cornland CDP;86
NE;Cornlea village;86.5
WI;Cornucopia CDP;93.4
AZ;Cornville CDP;82.5
PA;Cornwall borough;93.5
NY;Cornwall-on-Hudson village;94.7
PA;Cornwells Heights CDP;93.9
CA;Corona city;84.8
AZ;Corona de Tucson CDP;96
SD;Corona town;91.1
NM;Corona village;94.4
SC;Coronaca CDP;100
CA;Coronado city;98
CA;Coronita CDP;82.7
TX;Corpus Christi city;81.4
TX;Corral City town;100
NM;Corrales village;94.3
CA;Corralitos CDP;92.3
IA;Correctionville city;89.7
MN;Correll city;88.9
TX;Corrigan town;71.4
MD;Corriganville CDP;70.9
PA;Corry city;89
PA;Corsica borough;89.7
SD;Corsica city;75.5
TX;Corsicana city;75.1
CA;Corte Madera town;97.2
FL;Cortez CDP;93.7
CO;Cortez city;87.4
NY;Cortland city;88.7
OH;Cortland city;95.4
IL;Cortland town;92.8
NE;Cortland village;97.4
NY;Cortland West CDP;86.2
MI;Corunna city;88.1
IN;Corunna town;86.6
MT;Corvallis CDP;84.5
OR;Corvallis city;95.8
MT;Corwin Springs CDP;84.9
OH;Corwin village;84.8
IA;Corwith city;90.4
IA;Corydon city;89.4
KY;Corydon city;78.3
IN;Corydon town;84.9
CT;Cos Cob CDP;95.7
MO;Cosby village;76.8
OH;Coshocton city;86.5
WA;Cosmopolis city;93.2
MN;Cosmos city;90.5
CA;Costa Mesa city;84.7
NM;Costilla CDP;45
CA;Cotati city;89.3
NE;Cotesfield village;88
CA;Coto de Caza CDP;98.5
CO;Cotopaxi CDP;100
MD;Cottage City town;74.1
MN;Cottage Grove city;95.3
OR;Cottage Grove city;84.6
TN;Cottage Grove town;88.6
WI;Cottage Grove village;93.2
WA;Cottage Lake CDP;98.2
SC;Cottageville town;81.6
AR;Cotter city;91.6
IA;Cotter city;94.7
MO;Cottleville city;97.8
NM;Cotton City CDP;50
AR;Cotton Plant city;75.2
LA;Cotton Valley town;71.5
AL;Cottondale CDP;74.9
FL;Cottondale town;72.1
LA;Cottonport town;70.2
TN;Cottontown CDP;92.1
AZ;Cottonwood CDP;84.6
CA;Cottonwood CDP;79
AZ;Cottonwood city;84.9
ID;Cottonwood city;90.7
MN;Cottonwood city;92.4
TX;Cottonwood city;89.6
KS;Cottonwood Falls city;88.1
UT;Cottonwood Heights city;96.9
TX;Cottonwood Shores city;82.9
AL;Cottonwood town;76.3
SD;Cottonwood town;100
TX;Cotulla city;61.1
WI;Couderay village;95.2
PA;Coudersport borough;89.5
WA;Coulee City town;89.4
WA;Coulee Dam town;91.8
IA;Coulter city;84
CA;Coulterville CDP;100
IL;Coulterville village;90.7
IA;Council Bluffs city;86.9
ID;Council city;82.7
KS;Council Grove city;85.7
OK;Council Hill town;72.9
TX;Country Acres CDP;100
CA;Country Club CDP;78.2
FL;Country Club CDP;85.2
GA;Country Club Estates CDP;82.9
IN;Country Club Heights town;97.5
IL;Country Club Hills city;91.8
MO;Country Club Hills city;72.8
MO;Country Club village;94.8
WA;Country Homes CDP;94.5
NY;Country Knolls CDP;99.1
NJ;Country Lake Estates CDP;87.1
MO;Country Life Acres village;100
IN;Country Squire Lakes CDP;68.1
FL;Country Walk CDP;93.7
VA;Countryside CDP;96.8
IL;Countryside city;92.4
VA;County Center CDP;95.2
AL;County Line town;83.9
WA;Coupeville town;94.2
TX;Coupland city;84.8
PA;Courtdale borough;85.1
ND;Courtenay city;96.6
CA;Courtland CDP;78.9
KS;Courtland city;90.7
MN;Courtland city;95.6
AL;Courtland town;79.6
MS;Courtland town;78.6
VA;Courtland town;81
LA;Coushatta town;63.1
ME;Cousins Island CDP;100
UT;Cove CDP;100
OR;Cove city;88.9
TX;Cove city;92.9
NC;Cove City town;85.8
NC;Cove Creek CDP;85
NY;Cove Neck village;98
AR;Cove town;83.2
OH;Covedale CDP;93.8
WV;Covel CDP;75.3
CA;Covelo CDP;88.2
AK;Covenant Life CDP;100
VT;Coventry CDP;90.2
CT;Coventry Lake CDP;92.6
CA;Covina city;86
GA;Covington city;77.8
IN;Covington city;93.2
KY;Covington city;83
LA;Covington city;81.3
TN;Covington city;78.8
TX;Covington city;82.2
VA;Covington city;83.2
WA;Covington city;92.5
OK;Covington town;79.9
OH;Covington village;86.6
SD;Cow Creek CDP;100
CA;Cowan CDP;70.5
TN;Cowan city;71
SC;Coward town;73.5
AL;Cowarts town;86
IL;Cowden village;80.9
WV;Cowen town;68.9
OK;Coweta city;88.1
MO;Cowgill city;77.3
WA;Cowiche CDP;33.7
NE;Cowles village;80
WY;Cowley town;95.1
AZ;Cowlic CDP;100
OK;Cowlington town;76.3
SC;Cowpens town;75.6
NY;Coxsackie village;83.1
KY;Coxton CDP;79.6
AR;Coy town;73.9
TX;Coyanosa CDP;22.5
OK;Coyle town;89.5
IL;Coyne Center CDP;81.3
TX;Coyote Acres CDP;76.4
NM;Coyote CDP;94.8
TX;Coyote Flats city;84.9
KS;Coyville city;82.6
NE;Cozad city;86.4
IL;Crab Orchard CDP;90.1
WV;Crab Orchard CDP;88.8
KY;Crab Orchard city;71.4
TN;Crab Orchard city;66.6
NE;Crab Orchard village;71.1
OR;Crabtree CDP;81.5
PA;Crabtree CDP;92
PA;Crafton borough;95.8
NY;Cragsmoor CDP;93.5
OH;Craig Beach village;91.3
MT;Craig CDP;92
AK;Craig city;89.3
CO;Craig city;90.7
IA;Craig city;90.3
MO;Craig city;71.5
NE;Craig village;85.2
ID;Craigmont city;92.7
WV;Craigsville CDP;82.3
VA;Craigsville town;68.7
IL;Crainville village;93.5
NC;Cramerton town;88.3
NY;Cranberry Lake CDP;94.2
NJ;Cranbury CDP;94.8
TX;Crandall city;88.3
IN;Crandall town;75.2
WI;Crandon city;85
NJ;Crandon Lakes CDP;95
MT;Crane CDP;80
OR;Crane CDP;100
MO;Crane city;77.5
TX;Crane city;72.2
IN;Crane town;88.3
PA;Cranesville borough;93.6
TX;Cranfills Gap city;68.8
RI;Cranston city;87.9
ND;Crary city;86.4
GA;Crawford city;59.8
NE;Crawford city;89.1
CO;Crawford town;90
MS;Crawford town;72.8
TX;Crawford town;91.3
OR;Crawfordsville CDP;74.6
IN;Crawfordsville city;83.2
IA;Crawfordsville city;83.3
AR;Crawfordsville town;73.4
FL;Crawfordville CDP;92.9
GA;Crawfordville city;60.9
KY;Crayne CDP;89.5
IL;Creal Springs city;81.5
NC;Creedmoor city;92.7
TX;Creedmoor city;64.7
PA;Creekside borough;90.1
KY;Creekside city;100
MO;Creighton city;84.7
NE;Creighton city;90.6
MD;Crellin CDP;83.2
PA;Crenshaw CDP;92
MS;Crenshaw town;63.6
AL;Creola city;84.4
LA;Creola village;86.1
MD;Cresaptown CDP;79
SD;Cresbard town;86.1
FL;Crescent Beach CDP;99.3
LA;Crescent CDP;66.6
IA;Crescent city;88.3
OK;Crescent city;88.1
CA;Crescent City city;66.1
FL;Crescent City city;71
IL;Crescent City village;93.7
CA;Crescent Mills CDP;86.3
KY;Crescent Springs city;88
NV;Crescent Valley CDP;87
IA;Cresco city;91.2
CA;Cressey CDP;76.5
NJ;Cresskill borough;93.9
PA;Cresson borough;90.3
TX;Cresson city;94.7
PA;Cressona borough;88.7
CA;Crest CDP;93
IL;Crest Hill city;84.9
CO;Crested Butte town;98.3
CA;Crestline CDP;94
OH;Crestline village;83.6
CA;Creston CDP;100
IA;Creston city;93.9
WA;Creston town;85.4
IL;Creston village;84.5
NE;Creston village;92.1
OH;Creston village;86.1
CO;Crestone town;97.6
FL;Crestview city;92.6
KY;Crestview city;95.6
KY;Crestview Hills city;98.4
KY;Crestwood city;94.1
MO;Crestwood city;94.9
IL;Crestwood village;91.1
NJ;Crestwood Village CDP;86.3
OR;Creswell city;95.4
NC;Creswell town;82.7
NE;Crete city;74.6
IL;Crete village;96.2
MO;Creve Coeur city;97.1
IL;Creve Coeur village;88.9
VA;Crewe town;80.2
NC;Cricket CDP;58.7
OH;Cridersville village;87.6
VA;Crimora CDP;88.7
CO;Cripple Creek city;79.4
MD;Crisfield city;77.2
CO;Crisman CDP;100
KY;Crittenden city;88.2
WI;Crivitz village;87.2
CA;C-Road CDP;100
SD;Crocker CDP;-
WA;Crocker CDP;88.4
MO;Crocker city;88.4
CA;Crockett CDP;94.7
TX;Crockett city;77.6
MD;Crofton CDP;97
KY;Crofton city;78.3
NE;Crofton city;94.1
NY;Croghan village;87.4
CA;Cromberg CDP;91.7
NY;Crompond CDP;91.9
IA;Cromwell city;97.1
MN;Cromwell city;87.2
IN;Cromwell town;73.8
OK;Cromwell town;75.7
CO;Crook town;83
AK;Crooked Creek CDP;80.8
GA;Crooked Creek CDP;92.4
FL;Crooked Lake Park CDP;87.9
SD;Crooks city;92.8
MN;Crookston city;88.7
NE;Crookston village;90.9
OH;Crooksville village;84.4
MD;Croom CDP;84
TX;Crosby CDP;77.7
MN;Crosby city;84.5
ND;Crosby city;86.3
MS;Crosby town;54.9
TX;Crosbyton city;70.4
SC;Cross Anchor CDP;73.2
FL;Cross City town;74.6
PA;Cross Creek CDP;96.9
SC;Cross Hill town;77.7
WV;Cross Lanes CDP;93.2
TX;Cross Mountain CDP;98.7
TN;Cross Plains city;85.5
TX;Cross Plains town;78.7
WI;Cross Plains village;94.5
PA;Cross Roads borough;90.6
TX;Cross Roads town;93.7
TX;Cross Timber town;90.4
MO;Cross Timbers city;77.3
MI;Cross Village CDP;98.6
AR;Crossett city;90.7
KY;Crossgate city;97.8
MN;Crosslake city;98.8
NC;Crossnore town;81.3
VA;Crosspointe CDP;97.4
TN;Crossville city;79.1
AL;Crossville town;70.4
IL;Crossville village;83.7
MI;Croswell city;85.5
IN;Crothersville town;87.3
NY;Croton-on-Hudson village;93.1
ID;Crouch city;78.5
MT;Crow Agency CDP;85
MS;Crowder town;59
OK;Crowder town;84.3
TX;Crowell city;76.4
WY;Crowheart CDP;95.7
LA;Crowley city;64.8
TX;Crowley city;88.8
CA;Crowley Lake CDP;92.1
CO;Crowley town;84.3
PA;Crown CDP;82.7
OH;Crown City village;85.8
NY;Crown Heights CDP;91.5
AK;Crown Point CDP;100
IN;Crown Point city;92.6
NM;Crownpoint CDP;82.5
MD;Crownsville CDP;91.7
CA;Crows Landing CDP;66.7
IN;Crows Nest town;100
PA;Croydon CDP;86.2
VA;Crozet CDP;92.4
AZ;Crozier CDP;86.4
PA;Crucible CDP;82.9
MS;Cruger town;76.7
NY;Crugers CDP;74.2
WV;Crum CDP;63.9
TN;Crump city;75.9
WV;Crumpler CDP;85.2
NM;Cruzville CDP;89.6
NV;Crystal Bay CDP;100
AZ;Crystal Beach CDP;76.5
NY;Crystal Beach CDP;80.2
NM;Crystal CDP;88.1
MN;Crystal city;92.2
ND;Crystal city;88.3
MO;Crystal City city;89.4
TX;Crystal City city;61.1
MI;Crystal Downs Country Club CDP;100
MI;Crystal Falls city;91.7
CT;Crystal Lake CDP;95.3
FL;Crystal Lake CDP;79.1
IL;Crystal Lake city;92.5
IA;Crystal Lake city;96
MO;Crystal Lake Park city;99.7
OH;Crystal Lakes CDP;89.6
MO;Crystal Lakes city;88.2
IL;Crystal Lawns CDP;91
MI;Crystal Mountain CDP;100
FL;Crystal River city;85
OH;Crystal Rock CDP;66.2
FL;Crystal Springs CDP;66
MS;Crystal Springs city;75
NM;Cuartelez CDP;93.2
IL;Cuba city;80.5
KS;Cuba city;94.4
MO;Cuba city;71.6
WI;Cuba City city;94.1
AL;Cuba town;92.1
NM;Cuba village;81.4
NY;Cuba village;95
NM;Cubero CDP;78.8
WV;Cucumber CDP;53.5
CA;Cudahy city;42.9
WI;Cudahy city;88.6
FL;Cudjoe Key CDP;93.2
TX;Cuero city;78.3
TX;Cuevitas CDP;-
MT;Culbertson town;89
NE;Culbertson village;94.6
ID;Culdesac city;83.4
LA;Cullen town;54.1
KS;Cullison city;78.4
AL;Cullman city;85.3
WV;Culloden CDP;90.6
GA;Culloden city;61.4
IL;Cullom village;87.6
AL;Cullomburg CDP;93.4
NC;Cullowhee CDP;84.3
VA;Culpeper town;82.1
KS;Culver city;84
OR;Culver city;81
CA;Culver City city;92.2
IN;Culver town;93.6
VA;Cumberland CDP;39.8
ME;Cumberland Center CDP;100
IA;Cumberland city;89.3
KY;Cumberland city;71.4
MD;Cumberland city;87.6
WI;Cumberland city;90.9
TN;Cumberland City town;84.9
TN;Cumberland Gap town;85.4
NY;Cumberland Head CDP;90.1
RI;Cumberland Hill CDP;91.9
IN;Cumberland town;87.1
OH;Cumberland village;81.5
PA;Cumbola CDP;89.9
TX;Cumby city;87.3
TX;Cumings CDP;93.2
GA;Cumming city;81.1
IA;Cumming city;98.7
NY;Cumminsville CDP;79.3
NM;Cundiyo CDP;27.3
TX;Cuney town;82.1
KY;Cunningham CDP;86.5
KS;Cunningham city;93.7
CA;Cupertino city;96.7
WA;Curlew CDP;77.4
IA;Curlew city;98
WA;Curlew Lake CDP;85.3
IL;Curran village;87.8
MN;Currie city;84.4
MO;Curryville city;66.7
OH;Curtice CDP;99.3
NE;Curtis city;95.5
WI;Curtiss village;55.6
PA;Curtisville CDP;92.4
PA;Curwensville borough;92.2
IA;Cushing city;94.2
OK;Cushing city;78.4
TX;Cushing city;87.5
NE;Cushing village;100
AR;Cushman city;76
WA;Cusick town;84.2
AL;Cusseta town;83.7
GA;Cusseta-Chattahoochee County unified government;91.8
OH;Custar village;89.8
MT;Custer CDP;91.9
WA;Custer CDP;87.6
SD;Custer city;93.6
OK;Custer City town;82.6
MI;Custer village;88.5
TX;Cut and Shoot city;71.4
MT;Cut Bank city;84.1
LA;Cut Off CDP;75.2
NY;Cutchogue CDP;94.7
GA;Cuthbert city;67.5
FL;Cutler Bay town;88
CA;Cutler CDP;40.1
IL;Cutler village;82.1
MI;Cutlerville CDP;88.2
CA;Cutten CDP;98.4
AZ;Cutter CDP;100
OH;Cuyahoga Falls city;93.5
OH;Cuyahoga Heights village;84.5
CA;Cuyama CDP;42.2
NM;Cuyamungue CDP;86.1
NM;Cuyamungue Grant CDP;76.3
NY;Cuylerville CDP;82.7
MN;Cuyuna city;88
OH;Cygnet village;89.3
IA;Cylinder city;97.8
OH;Cynthiana CDP;-
KY;Cynthiana city;84.1
IN;Cynthiana town;83.3
CA;Cypress city;92
FL;Cypress Gardens CDP;92.1
FL;Cypress Lake CDP;91.6
FL;Cypress Quarters CDP;81.7
IL;Cypress village;84.2
OK;Cyril town;92.2
MN;Cyrus city;90.2
OK;Dacoma town;87.7
CO;Dacono city;83
GA;Dacula city;71.3
FL;Dade City city;78.8
FL;Dade City North CDP;70.4
AL;Dadeville city;73.7
MO;Dadeville village;89.3
MI;Daggett village;92.1
DE;Dagsboro town;93.6
ND;Dahlen CDP;100
VA;Dahlgren CDP;91.1
VA;Dahlgren Center CDP;97.8
IL;Dahlgren village;91
GA;Dahlonega city;86.8
WV;Dailey CDP;100
TX;Daingerfield city;79.6
TX;Daisetta city;76.7
GA;Daisy city;83
AR;Daisy town;82.3
PA;Daisytown borough;90.6
MN;Dakota city;88.5
IA;Dakota City city;90.1
NE;Dakota City city;77.2
SD;Dakota Dunes CDP;97.5
CO;Dakota Ridge CDP;96.4
IL;Dakota village;88.2
PA;Dale borough;83.1
OK;Dale CDP;100
WI;Dale CDP;97.7
VA;Dale City CDP;86.6
IN;Dale town;74.2
VA;Daleville CDP;94.6
AL;Daleville city;85.3
IN;Daleville town;90.4
TX;Dalhart city;79
PA;Dallas borough;96.5
IA;Dallas Center city;95.4
GA;Dallas city;86.8
OR;Dallas city;92.7
TX;Dallas city;74.5
IL;Dallas City city;90.1
NC;Dallas town;82.7
SD;Dallas town;89
WI;Dallas village;85.1
PA;Dallastown borough;86.4
WA;Dallesport CDP;94
PA;Dalmatia CDP;86.3
PA;Dalton borough;98
NY;Dalton CDP;95.5
WI;Dalton CDP;89.3
GA;Dalton city;61.9
MN;Dalton city;83.1
IL;Dalton City village;94.4
ID;Dalton Gardens city;93
MO;Dalton town;40
NE;Dalton village;95.9
OH;Dalton village;89.1
TX;Dalworthington Gardens city;93.6
CA;Daly City city;85.4
SC;Dalzell CDP;85.5
IL;Dalzell village;93.8
KS;Damar city;86.2
ME;Damariscotta CDP;92.1
MD;Damascus CDP;93.4
OH;Damascus CDP;89.9
GA;Damascus city;79.1
OR;Damascus city;92.5
AR;Damascus town;91.6
VA;Damascus town;71.2
MD;Dames Quarter CDP;68.8
IL;Damiansville village;86.5
UT;Dammeron Valley CDP;100
TX;Damon CDP;66.5
NC;Dana CDP;81.1
IA;Dana city;84.1
CA;Dana Point city;95
IN;Dana town;85.3
IL;Dana village;72.4
WI;Danbury CDP;94.7
CT;Danbury city;82.5
IA;Danbury city;87.6
TX;Danbury city;87
NC;Danbury town;86.4
NE;Danbury village;93.4
TN;Dandridge town;81.8
WI;Dane village;91.5
IL;Danforth village;87
FL;Dania Beach city;85.6
WY;Daniel CDP;100
UT;Daniel town;93.8
WV;Daniels CDP;86.2
CT;Danielson borough;79.4
GA;Danielsville city;78.1
NE;Dannebrog village;90.3
NY;Dannemora village;70.6
MI;Dansville village;93.1
NY;Dansville village;81.1
VA;Dante CDP;79.6
SD;Dante town;90.6
MN;Danube city;88.5
MA;Danvers CDP;94.3
MN;Danvers city;98.8
IL;Danvers village;96.4
PA;Danville borough;88.5
MD;Danville CDP;96.4
MO;Danville CDP;27.3
VT;Danville CDP;92.7
WA;Danville CDP;100
AR;Danville city;63.5
IL;Danville city;84.3
IA;Danville city;95.6
KS;Danville city;94.3
KY;Danville city;86.9
VA;Danville city;78.7
CA;Danville town;97.9
GA;Danville town;69.6
IN;Danville town;92.4
WV;Danville town;76.2
OH;Danville village;81.9
AL;Daphne city;95.8
CA;Daphnedale Park CDP;100
PA;Darby borough;85.8
MT;Darby town;83.6
OH;Darbydale CDP;76.7
OH;Darbyville village;71.3
AR;Dardanelle city;67.6
TN;Darden CDP;72.5
MO;Dardenne Prairie city;98
MN;Darfur city;70.1
MD;Dargan CDP;100
CT;Darien CDP;98.5
GA;Darien city;84.9
IL;Darien city;95.5
WI;Darien village;83
MS;Darling CDP;75
PA;Darlington borough;88.8
MD;Darlington CDP;91.9
SC;Darlington city;79.3
WI;Darlington city;85.7
IN;Darlington town;88.1
MO;Darlington village;78
IL;Darmstadt CDP;-
IN;Darmstadt town;98.7
MD;Darnestown CDP;98.3
WA;Darrington town;85.3
TX;Darrouzett town;86.3
OH;Darrtown CDP;94
CA;Darwin CDP;100
MN;Darwin city;86.9
WA;Dash Point CDP;97.7
GA;Dasher town;86
MN;Dassel city;88.5
AZ;Dateland CDP;84
NM;Datil CDP;100
AR;Datto town;56.5
PA;Dauberville CDP;93.5
PA;Dauphin borough;95.5
AL;Dauphin Island town;95.8
CA;Davenport CDP;73.7
NY;Davenport Center CDP;85.8
FL;Davenport city;88.7
IA;Davenport city;90.6
ND;Davenport city;92.5
WA;Davenport city;93.3
OK;Davenport town;80.1
NE;Davenport village;89.4
NE;Davey village;97.9
NE;David City city;86.6
NC;Davidson town;97.4
OK;Davidson town;66.4
PA;Davidsville CDP;94.2
FL;Davie town;90.6
NC;Davis CDP;96.3
CA;Davis city;96.1
OK;Davis city;80.8
IA;Davis City city;79.9
IL;Davis Junction village;88.9
SD;Davis town;91.4
WV;Davis town;89.1
IL;Davis village;90
GA;Davisboro city;72.4
MI;Davison city;93.6
AL;Daviston town;87.8
WV;Davy town;55.5
MO;Dawn CDP;95.5
PA;Dawson borough;89
MD;Dawson CDP;82.7
GA;Dawson city;63.7
IA;Dawson city;79.5
MN;Dawson city;91.1
ND;Dawson city;94.3
KY;Dawson Springs city;83.8
TX;Dawson town;76.2
IL;Dawson village;94.1
NE;Dawson village;86.4
GA;Dawsonville city;86.1
FL;Day CDP;68.8
OH;Day Heights CDP;95.5
CA;Day Valley CDP;88.8
NE;Daykin village;90.6
OR;Days Creek CDP;83.3
PA;Dayton borough;93.4
IL;Dayton CDP;87.9
MT;Dayton CDP;88.2
NV;Dayton CDP;86.1
NJ;Dayton CDP;96.5
ID;Dayton city;96.3
IA;Dayton city;86.9
KY;Dayton city;83
MN;Dayton city;96.3
OH;Dayton city;82.1
OR;Dayton city;74.7
TN;Dayton city;72.8
TX;Dayton city;83.8
WA;Dayton city;89.2
TX;Dayton Lakes city;73.3
AL;Dayton town;100
IN;Dayton town;90.8
VA;Dayton town;88.6
WY;Dayton town;95.8
FL;Daytona Beach city;86.3
FL;Daytona Beach Shores city;95.3
OR;Dayville town;95.1
ND;Dazey city;92.3
CO;De Beque town;79.4
MT;De Borgia CDP;-
MN;De Graff city;75.6
OH;De Graff village;86.5
TX;De Kalb city;85.5
MS;De Kalb town;79.2
MO;De Kalb town;86.8
ND;De Lamere CDP;100
IL;De Land village;85.9
TX;De Leon city;70.1
FL;De Leon Springs CDP;63.6
IN;De Motte town;88.4
WI;De Pere city;95
IL;De Pue village;62.4
AR;De Queen city;53.2
ID;De Smet CDP;82.3
SD;De Smet city;88.6
GA;De Soto city;69.2
IA;De Soto city;93.6
KS;De Soto city;90
MO;De Soto city;76.8
IL;De Soto village;84.4
WI;De Soto village;92.6
MI;De Tour Village village;85.2
AR;De Valls Bluff city;65.6
IA;De Witt city;96.6
MO;De Witt city;69.9
IL;De Witt village;92.7
NE;De Witt village;93.4
SD;Deadwood city;93.1
NJ;Deal borough;85.7
MD;Deal Island CDP;89.8
MD;Deale CDP;92
TX;Dean city;89.1
MI;Dearborn city;81
MO;Dearborn city;94.3
MI;Dearborn Heights city;85.8
KS;Dearing city;88.3
GA;Dearing town;76
ID;Deary city;96.8
AL;Deatsville town;96.3
WY;Deaver town;81.8
FL;DeBary city;90.6
AL;Decatur city;82.7
AR;Decatur city;60.1
GA;Decatur city;95.4
IL;Decatur city;87.2
IN;Decatur city;89.5
TX;Decatur city;84.5
IA;Decatur City city;79.3
MS;Decatur town;88.6
TN;Decatur town;84.3
MI;Decatur village;81.9
NE;Decatur village;85.2
TN;Decaturville town;73.3
TN;Decherd city;75.6
IN;Decker town;77.8
MI;Deckerville village;87.4
ID;Declo city;56.7
IA;Decorah city;94.8
TX;DeCordova city;98.8
MA;Dedham CDP;94.1
IA;Dedham city;94.2
PA;Deemston borough;90.8
GA;Deenwood CDP;91.1
VA;Deep Creek CDP;100
WA;Deep River CDP;91.8
CT;Deep River Center CDP;93.4
IA;Deep River city;85.6
WV;Deep Water CDP;87.6
MN;Deephaven city;99.8
GA;Deepstep town;91.6
MO;Deepwater city;83.7
AZ;Deer Creek CDP;91.1
MN;Deer Creek city;86.2
OK;Deer Creek town;90.5
IL;Deer Creek village;93
IL;Deer Grove village;85.7
OR;Deer Island CDP;79.1
PA;Deer Lake borough;95.1
PA;Deer Lake CDP;100
OK;Deer Lick CDP;100
MT;Deer Lodge city;89.2
AL;Deer Park CDP;86.3
CA;Deer Park CDP;95.1
NY;Deer Park CDP;90.7
OH;Deer Park city;89
TX;Deer Park city;86.5
WA;Deer Park city;91.8
MD;Deer Park town;79.8
IL;Deer Park village;95.9
WI;Deer Park village;89.5
MN;Deer River city;86.7
CO;Deer Trail town;96.4
NC;Deercroft CDP;100
FL;Deerfield Beach city;85.6
MA;Deerfield CDP;99.4
VA;Deerfield CDP;81.4
KS;Deerfield city;62.8
IL;Deerfield village;98.4
MI;Deerfield village;87.2
MO;Deerfield village;88.9
WI;Deerfield village;96.5
AK;Deering city;88
ND;Deering city;98.7
OH;Deersville village;95.3
MN;Deerwood city;90.9
NY;Deferiet village;90.9
MO;Defiance CDP;88.5
PA;Defiance CDP;100
IA;Defiance city;91.3
OH;Defiance city;89.6
WI;DeForest village;96.7
FL;DeFuniak Springs city;82.3
IL;DeKalb city;92.9
NY;DeKalb Junction CDP;84.7
CA;Del Aire CDP;80.9
OK;Del City city;86.5
CA;Del Mar city;98.8
TX;Del Mar Heights CDP;90.7
CA;Del Monte Forest CDP;98.6
AZ;Del Muerto CDP;40.7
CO;Del Norte town;79
CA;Del Rey CDP;35.2
CA;Del Rey Oaks city;94.8
CA;Del Rio CDP;96.8
TX;Del Rio city;66.2
TX;Del Sol CDP;49.1
WI;Delafield city;97.3
FL;DeLand city;87.4
FL;DeLand Southwest CDP;73.2
PA;Delano CDP;94.3
CA;Delano city;55
MN;Delano city;94.5
NY;Delanson village;98.4
AR;Delaplaine town;90.4
IL;Delavan city;93.8
MN;Delavan city;88.1
WI;Delavan city;79.3
WI;Delavan Lake CDP;92.3
NJ;Delaware CDP;100
IA;Delaware city;87.7
OH;Delaware city;93.7
DE;Delaware City city;86.7
NJ;Delaware Park CDP;88.3
OK;Delaware town;77.1
PA;Delaware Water Gap borough;99
WV;Delbarton town;79.4
LA;Delcambre town;74.6
NC;Delco CDP;47.2
NY;Delevan village;87.9
CA;Delft Colony CDP;80.6
CA;Delhi CDP;55.5
IA;Delhi city;91.6
MN;Delhi city;73.7
OH;Delhi Hills CDP;94.4
LA;Delhi town;85.9
NY;Delhi village;88
KS;Delia city;89.9
AR;Delight city;88.9
MS;DeLisle CDP;68
TX;Dell City city;51.6
SD;Dell Rapids city;93.7
AR;Dell town;92.1
CA;Delleker CDP;77.8
OH;Dellroy village;90
NC;Dellview town;100
WI;Dellwood CDP;89.1
MN;Dellwood city;98.7
MO;Dellwood city;92.1
IA;Delmar city;92.3
DE;Delmar town;83.2
MD;Delmar town;89.9
TX;Delmita CDP;52.9
PA;Delmont borough;93.9
SD;Delmont city;89.4
IA;Deloit city;71.5
IN;Delphi city;78.8
IA;Delphos city;30
KS;Delphos city;91.9
OH;Delphos city;90.2
FL;Delray Beach city;85.5
OH;Delshire CDP;91.2
PA;Delta borough;89.7
AL;Delta CDP;87
CO;Delta city;85.7
IA;Delta city;85.2
MO;Delta city;75.6
UT;Delta city;88.7
AK;Delta Junction city;95.4
LA;Delta village;85.3
OH;Delta village;92.7
AK;Deltana CDP;93.8
VA;Deltaville CDP;93.5
MI;Delton CDP;87.1
FL;Deltona city;88.2
NC;Delway CDP;79.2
NJ;Demarest borough;97.7
WA;Deming CDP;61
NM;Deming city;66.3
AL;Demopolis city;89.1
GA;Demorest city;88.7
CA;Denair CDP;71.3
VA;Dendron town;88.3
MN;Denham city;83.3
LA;Denham Springs city;83.5
ND;Denhoff CDP;100
NV;Denio CDP;100
IA;Denison city;66
KS;Denison city;85.1
TX;Denison city;85.8
IA;Denmark CDP;86.7
SC;Denmark city;76.2
WI;Denmark village;88.5
AR;Dennard CDP;56.7
AZ;Dennehotso CDP;74.4
AR;Denning town;82.3
MO;Dennis Acres village;95.7
MA;Dennis CDP;97.1
OK;Dennis CDP;77.4
MA;Dennis Port CDP;94.8
MN;Dennison city;92.8
OH;Dennison village;85
OH;Dent CDP;94.2
MN;Dent city;85.7
GA;Denton city;76.6
KS;Denton city;98.4
TX;Denton city;88.8
MD;Denton town;85.9
MT;Denton town;94.4
NC;Denton town;78.6
NE;Denton village;98.7
SC;Dentsville CDP;86.5
PA;Denver borough;88.7
NC;Denver CDP;92.8
CO;Denver city;86.1
IA;Denver city;97.7
TX;Denver City town;70.2
